5156, [0.54970707 0.52287695 0.50102188], 1.3993392199376088e-25 g/cm**3
542239, [0.54993587 0.5206655  0.50145408], 3.1270224068974173e-26 g/cm**3
112002, [0.54862403 0.52328127 0.49994479], 8.915008338939723e-25 g/cm**3
214874, [0.5490797  0.52123899 0.50021147], 7.115875842895147e-26 g/cm**3
538393, [0.55031127 0.52166652 0.50136701], 2.426141945002434e-26 g/cm**3
116585, [0.54934747 0.52298164 0.49928597], 3.904591712961824e-25 g/cm**3
279633, [0.54788709 0.52109555 0.5000423 ], 2.2063022047444545e-25 g/cm**3
176828, [0.54775855 0.5215817  0.50080881], 6.887196229358526e-26 g/cm**3
394112, [0.54879071 0.52169526 0.49980509], 4.217032547446345e-25 g/cm**3
89524, [0.55026246 0.52241562 0.50019476], 1.1173774519741594e-25 g/cm**3
37770, [0.5488753  0.52116637 0.50103103], 4.8722160086066186e-26 g/cm**3
10995, [0.54931519 0.52317102 0.50046757], 9.029550061772879e-25 g/cm**3
121004, [0.54929909 0.5210947  0.50017282], 9.817489419225872e-26 g/cm**3
379759, [0.54857838 0.52199418 0.49980999], 4.647769818196378e-25 g/cm**3
504055, [0.55044258 0.52202857 0.50007397], 1.3834757035844159e-25 g/cm**3
333818, [0.54940258 0.52144888 0.5002613 ], 1.1887603182865465e-25 g/cm**3
113392, [0.54930928 0.52306663 0.49987739], 1.1062918879324884e-24 g/cm**3
474615, [0.54899215 0.52265418 0.5009524 ], 8.907780160435054e-26 g/cm**3
387023, [0.54800577 0.5219406  0.49983852], 4.326387434881186e-25 g/cm**3
266216, [0.55047171 0.52130299 0.50018362], 1.9874484220687345e-25 g/cm**3
510165, [0.54831555 0.52165714 0.50133778], 8.573037124312306e-26 g/cm**3
239825, [0.54907346 0.52263593 0.5012877 ], 4.1468413977633957e-26 g/cm**3
166772, [0.54960554 0.52072881 0.50156115], 2.795558658124083e-26 g/cm**3
81718, [0.54833151 0.52321359 0.49989955], 4.584108123364068e-25 g/cm**3
532668, [0.54863673 0.52210926 0.50088812], 9.495213942741392e-26 g/cm**3
176162, [0.54941982 0.52074838 0.49977475], 8.341308332481757e-26 g/cm**3
27033, [0.54931853 0.52050843 0.50070912], 3.779319387647935e-26 g/cm**3
174918, [0.54933583 0.52082874 0.49927823], 4.835211417111056e-25 g/cm**3
542260, [0.55009419 0.52117072 0.50122734], 3.0379788087960603e-26 g/cm**3
428764, [0.54974309 0.52177038 0.50091817], 2.5871456675340535e-26 g/cm**3
218191, [0.54900695 0.52119271 0.50008839], 1.584805579755077e-25 g/cm**3
459470, [0.54906213 0.52170232 0.50071518], 6.994067461126861e-26 g/cm**3
424691, [0.54910598 0.52188111 0.50011574], 3.011656561298827e-25 g/cm**3
276957, [0.54798446 0.52135791 0.50015071], 1.9036016308404388e-25 g/cm**3
22197, [0.54928403 0.52107482 0.50075059], 5.521281585987431e-26 g/cm**3
140789, [0.54854395 0.521394   0.49964278], 3.330619200338006e-25 g/cm**3
407076, [0.54998165 0.52186231 0.50178871], 2.1287769774052522e-26 g/cm**3
179657, [0.54920538 0.52057735 0.49973241], 6.789276267385646e-26 g/cm**3
462382, [0.54942523 0.52157213 0.49970389], 3.156400476616163e-25 g/cm**3
56259, [0.54962964 0.52036045 0.5000114 ], 3.181262353932214e-26 g/cm**3
393266, [0.54941104 0.52203263 0.49973079], 3.4480054525243666e-25 g/cm**3
91011, [0.55013554 0.52334293 0.50044344], 7.027756309125285e-26 g/cm**3
424870, [0.54906074 0.52217832 0.50085576], 8.051921546218494e-26 g/cm**3
350778, [0.54819866 0.52247159 0.50070363], 3.148923030379345e-25 g/cm**3
244418, [0.5489871  0.52113841 0.50022074], 7.129014739498197e-26 g/cm**3
531413, [0.54845076 0.52149933 0.50104236], 8.118813312966738e-26 g/cm**3
477652, [0.54905485 0.52232576 0.50072157], 3.3744418951259987e-25 g/cm**3
41005, [0.54962876 0.52070331 0.50061519], 4.085335693271517e-26 g/cm**3
503256, [0.55035644 0.52171415 0.50021321], 1.9359342030613314e-25 g/cm**3
106751, [0.55010134 0.52266208 0.50107686], 1.046458848830302e-25 g/cm**3
281743, [0.5480698  0.5207088  0.50080452], 5.042839733447668e-26 g/cm**3
532152, [0.54839427 0.52181248 0.50092166], 7.780727172787149e-26 g/cm**3
514095, [0.54825685 0.52220694 0.50080998], 7.614770438454657e-26 g/cm**3
413234, [0.54951136 0.52219639 0.50092261], 1.2083184808494595e-25 g/cm**3
278194, [0.54811167 0.52135708 0.500058  ], 5.2656749103614105e-25 g/cm**3
